Topic,Characteristics,Total
Population and dwellings,Population; 2016,214631
Population and dwellings,Population; 2011,192079
Population and dwellings,Population percentage change; 2011 to 2016,11.7
Population and dwellings,Total private dwellings,92841
Population and dwellings,Private dwellings occupied by usual residents,87168
Population and dwellings,Population density per square kilometre,2081.5
Population and dwellings,Land area in square kilometres,103.11
Age characteristics,Total - Age groups and average age of the population - 100% data,214625
Age characteristics,  0 to 14 years,39620
Age characteristics,    0 to 4 years,14015
Age characteristics,    5 to 9 years,13635
Age characteristics,    10 to 14 years,11970
Age characteristics,  15 to 64 years,145400
Age characteristics,    15 to 19 years,12145
Age characteristics,    20 to 24 years,15105
Age characteristics,    25 to 29 years,17720
Age characteristics,    30 to 34 years,17485
Age characteristics,    35 to 39 years,15765
Age characteristics,    40 to 44 years,13600
Age characteristics,    45 to 49 years,12745
Age characteristics,    50 to 54 years,14605
Age characteristics,    55 to 59 years,14145
Age characteristics,    60 to 64 years,12080
Age characteristics,  65 years and over,29610
Age characteristics,    65 to 69 years,9255
Age characteristics,    70 to 74 years,6420
Age characteristics,    75 to 79 years,5125
Age characteristics,    80 to 84 years,4125
Age characteristics,    85 years and over,4685
Age characteristics,      85 to 89 years,2830
Age characteristics,      90 to 94 years,1455
Age characteristics,      95 to 99 years,340
Age characteristics,      100 years and over,60
Age characteristics,Total - Distribution (%) of the population by broad age groups - 100% data,100
Age characteristics,  0 to 14 years,18.5
Age characteristics,  15 to 64 years,67.7
Age characteristics,  65 years and over,13.8
Age characteristics,    85 years and over,2.2
Age characteristics,Average age of the population,38.4
Age characteristics,Median age of the population,36.6
Household and dwelling characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,87170
Household and dwelling characteristics,  Single-detached house,56330
Household and dwelling characteristics,  Apartment in a building that has five or more storeys,4225
Household and dwelling characteristics,  Other attached dwelling,26450
Household and dwelling characteristics,    Semi-detached house,2125
Household and dwelling characteristics,    Row house,5525
Household and dwelling characteristics,    Apartment or flat in a duplex,1645
Household and dwelling characteristics,    Apartment in a building that has fewer than five storeys,17115
Household and dwelling characteristics,    Other single-attached house,30
Household and dwelling characteristics,  Movable dwelling,170
Household and dwelling characteristics,Total - Private households by household size - 100% data,87170
Household and dwelling characteristics,  1 person,25790
Household and dwelling characteristics,  2 persons,29100
Household and dwelling characteristics,  3 persons,13365
Household and dwelling characteristics,  4 persons,11915
Household and dwelling characteristics,  5 or more persons,7005
Household and dwelling characteristics,Number of persons in private households,211305
Household and dwelling characteristics,Average household size,2.4
Marital status,Total - Marital status for the population aged 15 years and over - 100% data,175010
Marital status,  Married or living common law,98490
Marital status,    Married,82580
Marital status,    Living common law,15910
Marital status,  Not married and not living common law,76520
Marital status,    Never married,52515
Marital status,    Separated,3880
Marital status,    Divorced,10710
Marital status,    Widowed,9415
Family characteristics,Total - Census families in private households by family size - 100% data,58320
Family characteristics,  2 persons,29260
Family characteristics,  3 persons,12640
Family characteristics,  4 persons,11280
Family characteristics,  5 or more persons,5140
Family characteristics,Average size of census families,2.9
Family characteristics,Total number of census families in private households - 100% data,58320
Family characteristics,  Total couple families,47820
Family characteristics,    Married couples,39865
Family characteristics,    Common-law couples,7950
Family characteristics,  Total lone-parent families by sex of parent,10500
Family characteristics,    Female parent,8345
Family characteristics,    Male parent,2155
Family characteristics,Total - Couple census families in private households - 100% data,47815
Family characteristics,  Couples without children,22965
Family characteristics,  Couples with children,24855
Family characteristics,    1 child,9850
Family characteristics,    2 children,10345
Family characteristics,    3 or more children,4660
Family characteristics,Total - Lone-parent census families in private households - 100% data,10500
Family characteristics,  1 child,6300
Family characteristics,  2 children,2790
Family characteristics,  3 or more children,1415
Family characteristics,Total - Persons not in census families in private households - 100% data,41955
Household type,Total - Private households by household type - 100% data,87170
Household type,  One-census-family households,55210
Household type,    Without children in a census family,21980
Household type,    With children in a census family,33225
Household type,  Multiple-census-family households,1500
Household type,  Non-census-family households,30460
Household type,    One-person households,25785
Household type,    Two-or-more person non-census-family households,4670
Knowledge of official languages,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,212220
Knowledge of official languages,  English only,196445
Knowledge of official languages,  French only,200
Knowledge of official languages,  English and French,12920
Knowledge of official languages,  Neither English nor French,2660
First official language spoken,Total - First official language spoken for the total population excluding institutional residents - 100% data,212220
First official language spoken,  English,206670
First official language spoken,  French,2400
First official language spoken,  English and French,575
First official language spoken,  Neither English nor French,2580
First official language spoken,Official language minority (number),2690
First official language spoken,Official language minority (percentage),1.3
Mother tongue,Total - Mother tongue for the total population excluding institutional residents - 100% data,212220
Mother tongue,  Single responses,207725
Mother tongue,    Official languages,170615
Mother tongue,      English,168175
Mother tongue,      French,2440
Mother tongue,    Non-official languages,37110
Mother tongue,      Aboriginal languages,455
Mother tongue,        Algonquian languages,390
Mother tongue,          Blackfoot,0
Mother tongue,          Cree-Montagnais languages,290
Mother tongue,            Atikamekw,0
Mother tongue,            Montagnais (Innu),0
Mother tongue,            Moose Cree,0
Mother tongue,            Naskapi,0
Mother tongue,            Northern East Cree,0
Mother tongue,            Plains Cree,70
Mother tongue,            Southern East Cree,0
Mother tongue,            Swampy Cree,10
Mother tongue,            Woods Cree,20
Mother tongue,            Cree; n.o.s.,190
Mother tongue,          Eastern Algonquian languages,0
Mother tongue,            Malecite,0
Mother tongue,            Mi'kmaq,0
Mother tongue,          Ojibway-Potawatomi languages,100
Mother tongue,            Algonquin,0
Mother tongue,            Ojibway,100
Mother tongue,            Oji-Cree,0
Mother tongue,            Ottawa (Odawa),0
Mother tongue,          Algonquian languages; n.i.e.,5
Mother tongue,        Athabaskan languages,5
Mother tongue,          Northern Athabaskan languages,5
Mother tongue,            Babine (Wetsuwet'en),0
Mother tongue,            Beaver,0
Mother tongue,            Carrier,0
Mother tongue,            Chilcotin,0
Mother tongue,            Dene,5
Mother tongue,            Dogrib (Tlicho),0
Mother tongue,            Gwich'in,0
Mother tongue,            Sarsi (Sarcee),0
Mother tongue,            Sekani,0
Mother tongue,            Slavey-Hare languages,0
Mother tongue,              North Slavey (Hare),0
Mother tongue,              South Slavey,0
Mother tongue,              Slavey; n.o.s.,0
Mother tongue,            Tahltan languages,0
Mother tongue,              Kaska (Nahani),0
Mother tongue,              Tahltan,0
Mother tongue,            Tutchone languages,0
Mother tongue,              Northern Tutchone,0
Mother tongue,              Southern Tutchone,0
Mother tongue,          Athabaskan languages; n.i.e.,0
Mother tongue,        Haida,0
Mother tongue,        Inuit languages,5
Mother tongue,          Inuinnaqtun (Inuvialuktun),0
Mother tongue,          Inuktitut,5
Mother tongue,          Inuit languages; n.i.e.,5
Mother tongue,        Iroquoian languages,0
Mother tongue,          Cayuga,0
Mother tongue,          Mohawk,0
Mother tongue,          Oneida,0
Mother tongue,          Iroquoian languages; n.i.e.,0
Mother tongue,        Kutenai,0
Mother tongue,        Michif,15
Mother tongue,        Salish languages,0
Mother tongue,          Comox,0
Mother tongue,          Halkomelem,0
Mother tongue,          Lillooet,0
Mother tongue,          Okanagan,0
Mother tongue,          Shuswap (Secwepemctsin),0
Mother tongue,          Squamish,0
Mother tongue,          Straits,0
Mother tongue,          Thompson (Ntlakapamux),0
Mother tongue,          Salish languages; n.i.e.,0
Mother tongue,        Siouan languages,35
Mother tongue,          Dakota,30
Mother tongue,          Stoney,0
Mother tongue,          Siouan languages; n.i.e.,5
Mother tongue,        Tlingit,0
Mother tongue,        Tsimshian languages,0
Mother tongue,          Gitxsan (Gitksan),0
Mother tongue,          Nisga'a,0
Mother tongue,          Tsimshian,0
Mother tongue,        Wakashan languages,0
Mother tongue,          Haisla,0
Mother tongue,          Heiltsuk,0
Mother tongue,          Kwakiutl (Kwak'wala),0
Mother tongue,          Nuu-chah-nulth (Nootka),0
Mother tongue,          Wakashan languages; n.i.e.,0
Mother tongue,        Aboriginal languages; n.o.s.,0
Mother tongue,      Non-Aboriginal languages,36650
Mother tongue,        Afro-Asiatic languages,2620
Mother tongue,          Berber languages,5
Mother tongue,            Kabyle,5
Mother tongue,            Berber languages; n.i.e.,10
Mother tongue,          Cushitic languages,580
Mother tongue,            Bilen,25
Mother tongue,            Oromo,45
Mother tongue,            Somali,500
Mother tongue,            Cushitic languages; n.i.e.,10
Mother tongue,          Semitic languages,2030
Mother tongue,            Amharic,130
Mother tongue,            Arabic,1560
Mother tongue,            Assyrian Neo-Aramaic,20
Mother tongue,            Chaldean Neo-Aramaic,0
Mother tongue,            Harari,0
Mother tongue,            Hebrew,35
Mother tongue,            Maltese,0
Mother tongue,            Tigrigna,285
Mother tongue,            Semitic languages; n.i.e.,0
Mother tongue,          Afro-Asiatic languages; n.i.e.,5
Mother tongue,        Austro-Asiatic languages,1185
Mother tongue,          Khmer (Cambodian),45
Mother tongue,          Vietnamese,1140
Mother tongue,          Austro-Asiatic languages; n.i.e,0
Mother tongue,        Austronesian languages,6220
Mother tongue,          Bikol,20
Mother tongue,          Cebuano,480
Mother tongue,          Fijian,0
Mother tongue,          Hiligaynon,65
Mother tongue,          Ilocano,335
Mother tongue,          Malagasy,0
Mother tongue,          Malay,25
Mother tongue,          Pampangan (Kapampangan; Pampango),50
Mother tongue,          Pangasinan,15
Mother tongue,          Tagalog (Pilipino; Filipino),5150
Mother tongue,          Waray-Waray,10
Mother tongue,          Austronesian languages; n.i.e.,65
Mother tongue,        Creole languages,65
Mother tongue,          Haitian Creole,5
Mother tongue,          Creole; n.o.s.,35
Mother tongue,          Creole languages; n.i.e.,25
Mother tongue,        Dravidian languages,625
Mother tongue,          Kannada,20
Mother tongue,          Malayalam,305
Mother tongue,          Tamil,150
Mother tongue,          Telugu,145
Mother tongue,          Dravidian languages; n.i.e.,5
Mother tongue,        Hmong-Mien languages,0
Mother tongue,        Indo-European languages,18300
Mother tongue,          Albanian,190
Mother tongue,          Armenian,15
Mother tongue,          Balto-Slavic languages,3565
Mother tongue,            Baltic languages,55
Mother tongue,              Latvian,20
Mother tongue,              Lithuanian,35
Mother tongue,            Slavic languages,3505
Mother tongue,              Belarusan,0
Mother tongue,              Bosnian,65
Mother tongue,              Bulgarian,20
Mother tongue,              Croatian,190
Mother tongue,              Czech,40
Mother tongue,              Macedonian,5
Mother tongue,              Polish,475
Mother tongue,              Russian,1005
Mother tongue,              Serbian,135
Mother tongue,              Serbo-Croatian,25
Mother tongue,              Slovak,25
Mother tongue,              Slovene (Slovenian),30
Mother tongue,              Ukrainian,1470
Mother tongue,              Slavic languages; n.i.e.,10
Mother tongue,          Celtic languages,10
Mother tongue,            Scottish Gaelic,0
Mother tongue,            Welsh,5
Mother tongue,            Celtic languages; n.i.e.,5
Mother tongue,          Germanic languages,2605
Mother tongue,            Afrikaans,120
Mother tongue,            Danish,35
Mother tongue,            Dutch,225
Mother tongue,            Frisian,5
Mother tongue,            German,2145
Mother tongue,            Icelandic,10
Mother tongue,            Norwegian,35
Mother tongue,            Swedish,15
Mother tongue,            Vlaams (Flemish),10
Mother tongue,            Yiddish,10
Mother tongue,            Germanic languages; n.i.e.,0
Mother tongue,          Greek,535
Mother tongue,          Indo-Iranian languages,9395
Mother tongue,            Indo-Aryan languages,8520
Mother tongue,              Bengali,990
Mother tongue,              Gujarati,1215
Mother tongue,              Hindi,750
Mother tongue,              Kashmiri,10
Mother tongue,              Konkani,25
Mother tongue,              Marathi,65
Mother tongue,              Nepali,395
Mother tongue,              Oriya (Odia),5
Mother tongue,              Punjabi (Panjabi),2445
Mother tongue,              Sindhi,20
Mother tongue,              Sinhala (Sinhalese),40
Mother tongue,              Urdu,2560
Mother tongue,            Iranian languages,775
Mother tongue,              Kurdish,70
Mother tongue,              Pashto,215
Mother tongue,              Persian (Farsi),490
Mother tongue,            Indo-Iranian languages; n.i.e.,100
Mother tongue,          Italic (Romance) languages,1985
Mother tongue,            Catalan,0
Mother tongue,            Italian,370
Mother tongue,            Portuguese,120
Mother tongue,            Romanian,255
Mother tongue,            Spanish,1240
Mother tongue,            Italic (Romance) languages; n.i.e.,0
Mother tongue,        Japanese,100
Mother tongue,        Kartvelian languages,0
Mother tongue,          Georgian,0
Mother tongue,        Korean,550
Mother tongue,        Mongolic languages,5
Mother tongue,          Mongolian,5
Mother tongue,        Niger-Congo languages,1000
Mother tongue,          Akan (Twi),55
Mother tongue,          Bamanankan,0
Mother tongue,          Edo,25
Mother tongue,          Ewe,30
