Postal Code,Area,Latitude,Longitude
S4V,Regina Southeast,50.425,-104.539
S4W,Regina Southwest,50.408,-104.654
S4X,Regina Northwest,50.506,-104.675
S4Z,Regina Northeast,50.450,-104.532
S4L,Regina East,50.413,-104.273
S4P,Regina Central,50.419,-104.677
S4T,Regina West,50.451,-104.665
S4Y,Regina Outer Northwest,50.477,-104.699
S4N,Regina Northeast and East Central,50.467,-104.541
S4R,Regina North Central,50.486,-104.616
S4S,Regina South Saskatchewan Provincial Government,50.415,-104.610
S4M,Regina Rural West,50.450,-104.618
