Postal Code,Area,Latitude,Longitude
S4V,Regina Southeast,50.418,-104.53
S4W,Regina Southwest,50.434,-104.66
S4X,Regina Northwest,50.506,-104.674
S4Z,Regina Northeast,50.452,-104.531
S4L,Regina East,50.434,-104.35
S4P,Regina Central,50.444,-104.61
S4T,Regina West,50.455,-104.661
S4Y,Regina Outer Northwest,50.475,-104.699
S4N,Regina Northeast and East Central,50.464,-104.55
S4R,Regina North Central,50.48,-104.63
S4S,Regina South Saskatchewan Provincial Government,50.413,-104.61
S4M,Regina Rural West,50.442,-104.72
